dim,importance
205,0.0046472736
115,0.0040271697
64,0.0039001144
73,0.0038966122
116,0.0038767855
127,0.003720262
371,0.0036075076
292,0.003367006
267,0.0028847796
23,0.002773464
160,0.002616982
121,0.0025722047
229,0.0024709
316,0.0023343067
188,0.0023289227
365,0.0022990478
346,0.0022732222
99,0.0022545229
174,0.0022454853
238,0.0022145633
51,0.0022017502
278,0.0020970446
60,0.0020880532
168,0.002080975
323,0.0020285817
62,0.0020103247
138,0.0020008704
26,0.0020007
220,0.001993428
42,0.0019057406
269,0.0018929184
338,0.0018617761
380,0.0018383809
259,0.0018368972
190,0.0018354619
123,0.0018344319
264,0.0018254212
28,0.001788995
340,0.001774233
18,0.001764761
157,0.0017598617
163,0.0017590135
255,0.0017072492
334,0.001703393
281,0.0016720494
335,0.0016710723
317,0.0016440295
104,0.0016419151
336,0.0016384259
350,0.0016253026
181,0.0016193896
359,0.0016174619
87,0.0016102002
192,0.0015927962
368,0.0015836277
207,0.0015774686
83,0.0015765558
140,0.0015704625
245,0.0015655928
244,0.0015619165
10,0.0015554616
345,0.0015353865
114,0.0015313975
333,0.0015209061
111,0.0015126251
210,0.0014879005
211,0.0014776274
347,0.0014733579
263,0.0014660798
237,0.0014603605
216,0.0014500073
45,0.0014476177
134,0.0014471321
106,0.0014376036
130,0.0014352611
294,0.0014298158
232,0.0014185298
249,0.0014171809
206,0.0013866129
234,0.0013699558
3,0.0013667105
19,0.001364937
203,0.0013640509
191,0.0013588754
27,0.0013585562
268,0.0013539549
124,0.0013526955
354,0.001351672
100,0.0013513162
307,0.0013461802
252,0.001344486
117,0.0013399691
253,0.001330272
53,0.0013291806
125,0.0013265262
318,0.0013256274
273,0.0013227105
139,0.0013205614
119,0.0013180501
40,0.0013164302
337,0.0013143928
325,0.0013055801
109,0.0012998884
165,0.0012964378
150,0.0012874989
33,0.0012870915
326,0.0012860906
131,0.001285262
46,0.0012724469
261,0.0012694559
356,0.0012683852
182,0.0012678632
327,0.0012659054
179,0.001263975
221,0.0012478678
362,0.0012291975
63,0.0012247956
313,0.0012172328
360,0.0011977907
15,0.0011853474
353,0.001185133
277,0.0011823475
240,0.0011765192
14,0.0011735223
378,0.0011669098
41,0.0011653844
173,0.0011650863
95,0.001163406
175,0.0011615984
339,0.0011518977
373,0.0011441546
38,0.0011430215
166,0.0011426421
367,0.0011425699
31,0.001137514
108,0.0011245951
76,0.0011236776
242,0.0011236437
331,0.0011235425
85,0.001119496
314,0.001110012
291,0.001108653
257,0.0011009951
72,0.001100294
67,0.0010979455
250,0.0010956766
171,0.0010926231
153,0.0010922994
35,0.0010918836
184,0.0010828938
222,0.0010771361
142,0.0010759896
298,0.0010725616
284,0.0010706264
217,0.0010699946
293,0.0010647806
29,0.0010617018
349,0.0010599633
324,0.0010495062
152,0.0010464408
204,0.0010461862
49,0.0010448388
39,0.0010443222
308,0.0010413209
37,0.0010400808
24,0.0010381597
61,0.0010346869
201,0.0010345923
128,0.001030972
231,0.0010176359
248,0.001015655
215,0.0010081162
374,0.0010072943
297,0.001006615
364,0.0010061386
369,0.0009973305
363,0.000997265
102,0.0009963182
295,0.0009957788
71,0.0009955401
167,0.0009931207
197,0.0009917684
177,0.0009914972
271,0.0009871944
178,0.0009843935
219,0.0009789945
143,0.0009768818
97,0.0009768518
8,0.00097621954
270,0.0009742029
375,0.0009721371
47,0.00097182085
208,0.0009699538
74,0.0009669168
1,0.0009667095
199,0.00096271327
20,0.000961157
213,0.00095784763
279,0.00095633167
162,0.00095587445
265,0.0009540777
196,0.0009438127
156,0.0009425607
78,0.00094096264
141,0.000936625
280,0.000925665
357,0.0009247236
70,0.00092306023
246,0.0009220129
302,0.0009214945
251,0.0008996706
32,0.0008928947
266,0.0008926507
214,0.0008925958
258,0.00089152553
54,0.00089016656
262,0.00088565634
122,0.00087877363
352,0.0008765235
9,0.0008753069
287,0.00087177963
379,0.00086562056
34,0.0008575563
50,0.00085684593
202,0.00085411617
342,0.00084878464
194,0.0008480845
66,0.0008480303
159,0.000847151
107,0.00084272516
183,0.0008424438
169,0.0008416777
274,0.0008411246
227,0.0008398321
7,0.0008375913
145,0.00083757326
312,0.00083600084
148,0.00083572086
275,0.0008316769
355,0.0008314522
198,0.00082888
57,0.0008264676
91,0.00082556176
6,0.00082547334
11,0.0008239789
16,0.0008220304
68,0.0008196729
180,0.0008192819
328,0.0008179984
233,0.0008107469
320,0.0008050423
361,0.00079801935
260,0.0007932861
170,0.0007895161
290,0.00078919233
186,0.00078226445
86,0.0007817394
154,0.0007747178
351,0.0007741841
377,0.0007714812
90,0.0007671746
120,0.00076480507
299,0.0007631061
98,0.0007631024
344,0.00076270814
132,0.0007595147
243,0.0007545309
235,0.00075312756
13,0.00074865704
151,0.0007477747
225,0.0007429968
44,0.0007421941
370,0.0007323493
200,0.00073017826
36,0.0007256564
94,0.00072440715
17,0.00072193885
329,0.0007219354
129,0.00072092423
239,0.00072010176
75,0.0007158198
59,0.0007122294
172,0.00071170065
103,0.00070802926
296,0.00070649176
93,0.0007056304
146,0.0007024874
110,0.00070164376
52,0.0007014967
372,0.0007007246
276,0.00069807965
158,0.00069555803
55,0.0006899803
105,0.000689377
358,0.0006865431
189,0.000685394
185,0.00068217
310,0.00068199285
96,0.0006809515
223,0.00067916076
311,0.00067694864
164,0.0006752005
330,0.00067513104
209,0.00067472365
228,0.00067061005
195,0.0006697955
137,0.0006689569
118,0.00066788215
322,0.00066681235
48,0.0006619578
212,0.0006585946
305,0.00065829523
236,0.0006559211
113,0.00065574073
176,0.0006545705
218,0.000653793
43,0.0006513474
135,0.00065114314
147,0.0006509404
12,0.0006499868
282,0.00064744125
136,0.00064520485
77,0.0006449388
133,0.000644639
224,0.00064417574
58,0.0006435815
56,0.00063805777
80,0.0006375511
321,0.0006358852
126,0.0006351301
383,0.0006304719
304,0.00062900316
5,0.0006279747
343,0.00062180776
272,0.00062151474
88,0.00062066497
309,0.000620295
348,0.0006198686
226,0.0006177158
81,0.0006133827
65,0.0006125139
306,0.0006098255
89,0.00060973724
22,0.00060625374
303,0.00060510315
301,0.0005992487
286,0.0005928974
247,0.00059144996
256,0.0005859899
283,0.00058024755
241,0.000579457
289,0.00057870866
101,0.00057864725
366,0.0005731626
69,0.00056584936
300,0.0005596888
332,0.00055713573
79,0.0005467962
25,0.00054629846
288,0.0005369583
381,0.0005276091
2,0.0005260015
155,0.00052442367
187,0.00051945396
84,0.0005148087
285,0.0005073348
382,0.00050151744
230,0.0004977702
376,0.0004947197
82,0.0004930133
92,0.0004924395
4,0.00048767807
254,0.00048516935
193,0.00047504157
319,0.0004713712
144,0.0004403591
161,0.00043293904
0,0.00043052703
149,0.00040197314
341,0.00039735806
315,0.00039654283
112,0.00038266252
21,0.00037768838
30,0.00033512522
